( PATRIMONIO + RESULTADOS ) / ACTIVOS INMOVILIZADOS,1.3205419032612622,2.07645668431951,2.1835470705009654,2.7883896620405295,1.4608075405108962,1.6483692634152622,5.120890137643336,0.600114028432803,2.39982063039585,1.103160322121932,1.740726341923391,5.49584766026316,2.061538306096057,0.5521087306393387,3.3737222816984294,4.558391997622822,-233.71533025284137,7.345110098232992,6.2572236741796505,11.281626167017999,4.174267688478726,7.3413154058229315,2.7148153150717222,1.6071930983164453,-22.964340108619584,2.2541285338083457,1.358129462826579,1.42088151252689,3.467572054223648,2.690625402243339,2.121170973718842,2.0827819706272344,0.8339728675466433,1.4307395573344732,0.4265541209369044,0.49384738453789506,12.34262213276184,-7.983649862284589,21.658239281986507,0.796889826405678,7.491053462063463,8.43652058254332,5.141786102067468,1.96589186292625
ACTIVOS PRODUCTIVOS / TOTAL ACTIVOS,0.8768980379370008,0.9082519920574467,0.9265835199567282,0.9210986778564365,0.9057347869071042,0.9054987804349136,0.933794002991296,0.8066506394663111,0.9390033706852325,0.8164758297581606,0.9241433024051064,0.9232600714539921,0.9010562020527457,0.7447784531374876,0.9114269069586889,0.9553791681882493,0.9747161211487549,0.9306823271285717,0.9407355893285796,0.9575782785638518,0.9369076677911816,0.9443694412484627,0.9372711312064731,0.9071561052696442,0.9614197228264645,0.9055731443090235,0.8926231113155915,0.8944762895172363,0.9146734223180876,0.9175486224224308,0.8962790657305589,0.8972592105666249,0.8726551822833037,0.876710839093168,0.7664596979198348,0.7684373238217644,0.9550056110646524,0.9852430476935139,0.9613665938980105,0.7425779676983612,0.9505794020589323,0.8510097704087479,0.9352457878385666,0.9015071753825898
ACTIVOS PRODUCTIVOS / PASIVOS CON COSTO,1.0278444062578782,1.0442889960686434,1.0397651610918375,1.0806460664189899,1.0141253237159904,1.0461120896412333,1.061352032846897,0.913403352932571,1.0374323924332611,0.9975570375287062,1.0283897115063627,1.2059636380367003,1.0870772417802594,0.8738156735945392,1.0856256146697614,1.171698050573233,1.2823238007248734,1.1648903820667704,1.0928166144598666,1.3166834437809387,1.131291713003889,1.1581064816449456,1.0538628539019952,1.0312029682119723,1.101338747659675,1.0385830223337582,1.0142276236761198,1.0065417322528423,1.0588864019919255,1.0707267189536285,1.0561209829273999,1.0682912936426558,0.9727021738397003,1.0122416878563067,0.8628908687854502,0.8759666663579802,1.1804181464300365,1.188739422513956,1.1155292946362731,0.908828694008862,1.1359245022741136,1.0695725227149497,1.141498546909057,1.0504463375796587
INDICES DE MOROSIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOROSIDAD DE LA CARTERA DE CREDITO PRODUCTIVO,0.1112845875785673,0.02003957142675212,0.05539472068232786,0,0.0808896504629273,0,0,0,0.0159197437455793,0,0,0.03479299602836331,7.25980517151e-06,0.00085446562753436,0.14894337978756136,0,0.02984009877960023,0,0,0,0.04891769967853267,0,0.01625676096009147,0,0.08650343506490543,0.00176028609974087,0,0.07103122455165893,0,0.10579034867627267,0,0.07126429107311508,0.4881887520302854,0.8333333333333334,0,0.5118686156303923,0.01567783234572582,0.00829513731161215,0,0.00426444126671754,0,0.15838728755658762,0,0.11368841302133327
MOROSIDAD DE LA CARTERA DE CONSUMO,0.07094808786828996,0.0741574612198059,0.088975182744327,0.03660084640978362,0.05392644650886976,0.04100700347915506,0.03754222023108853,0.0665578674636128,0.05830703161959351,0.05855950359877319,0.0471311072397412,0.04830675981287824,0.04999326248881517,0.12905026552723675,0.08673071879244436,0.04889774493156578,0.07249856266845263,0.03440226535558208,0.03848559198783775,0.01254519267326786,0.08188637878961672,0.05777662709322386,0.05287635367003593,0.03317814440394042,0.06067298465625765,0.0746619681489743,0.03374504332963158,0.04455708616218129,0.01786641302340659,0.06505892507746364,0.10968965435053007,0.08876903505853825,0.05381437167531102,0.0401951005341654,0.02381726922338503,0.11630385828248085,0.03320309065916908,0.04903490417209261,0.07079219093184572,0.10466631235281702,0.06484207687935883,0.05026036011582208,0.03543054378217454,0.07036019905247856
MOROSIDAD DE LA CARTERA DE CREDITO INMOBILIARIO,0.02961467811591286,0.10190397187543507,0.02291534328033448,4.96997946032e-06,0,1.33889514841e-05,0.0484331344585977,0.06635261372905908,0.02706273072956267,0.06885444533524736,0.13573342617005174,0.03502260548215867,0.02668045204118452,0.11563050256342289,0.05617310165763718,3.98798469839e-06,0.05641217661500033,0.01078750815574451,4.19678123876e-06,0,0.04912631433049516,0.0259257768672649,0.02831861979837,0.15871312602471033,0.035349308601898,0.05278755188361528,0,0.02150430732593059,0.00010243529674481,0.01106192331633903,0.08018660691605277,0.02880244394345706,0.03730140587947522,0.02073283536434517,0,0.06805215408181506,0.01305632385611328,0.01920791451492998,0.02640716343626437,0.05317660898684452,0.0156940815138874,4.029727027634e-05,0,0.04321736150166899
MOROSIDAD DE LA CARTERA DE MICROCREDITO,0.1823163425958861,0.11942933143353213,0.19639055776925074,0.12526615893332163,0.1675656419831212,0.08488818258474395,0.11276362597637846,0.09850024082087025,0.10394923048341262,0.24709601390225783,0.13843855882166778,0.12256205890585271,0.15550831008479793,0.19946638298979427,0.14463066526936433,0.05851356689551236,0.1573972873348611,0.05915742443533694,0.03648233555173338,0,0.14068301229203226,0.12372360379948945,0.08277826734622246,0.09062854014630962,0.07656911778473406,0.12846191922938258,0.12205922759742144,0.09699479169731492,0.02785931317118775,0.12677521925238866,0.1562633988563887,0.1345049688629586,0.12526440456371796,0.07420372620697611,0.03858767734439558,0.31094560841909585,0.04885221516014712,0.06070597322856756,0.13851822207844863,0.314172044228515,0.08284859886964638,0.14257973798821763,0.06280672488938527,0.11085992875359821
MOROSIDAD DE LA CARTERA DE VIVIENDA DE INTERES SOCIAL Y PUBLICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05603409002555564,0,0,0,0,0,0,0,0.04979436191567104
MOROSIDAD DE LA CARTERA DE CREDITO EDUCATIVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.853906119902e-05
MOROSIDAD DE LA CARTERA TOTAL,0.10727170088910512,0.0934248851231315,0.09899963777950792,0.0963130478526817,0.06722265143860477,0.0752814564112051,0.08354127175237043,0.07332894456054637,0.06641355256510624,0.15100684515159107,0.1087187124021978,0.07805394326644514,0.06552630269155325,0.1664532193565834,0.09436575648570088,0.05024061114715703,0.11086513643942562,0.04798796333476976,0.03675821465944835,0.01254519267326786,0.09023160589885795,0.08324138969439833,0.07089813298639684,0.07360584095150655,0.06341101803849139,0.06926300914251807,0.09677006312350732,0.06384767299243242,0.02505657703039496,0.08650278315904081,0.1307844272993009,0.10679864126464991,0.07456900118224558,0.04936148295173625,0.03287348433851065,0.14611757868974937,0.04118703392296363,0.05091435713610852,0.09582906496774996,0.10820493849971885,0.06285338106809363,0.08783575156721782,0.0566982354314715,0.08348349956716437
